,Accuracy,Epochs,Layers,Loss,Nodes
0,0.7720000147819519,10,2,0.4932722704410553,70
0,0.7200000286102295,30,2,1.0797876205444337,70
0,0.7360000014305115,50,2,1.6417474412918092,70
0,0.7039999961853027,70,2,1.8278977403640746,70
0,0.6840000152587891,90,2,2.3145061893463135,70
0,0.7440000176429749,10,2,0.5143727607727051,90
0,0.7279999852180481,30,2,1.143282648086548,90
0,0.7039999961853027,50,2,1.9068551273345948,90
0,0.7440000176429749,70,2,2.0595324687957763,90
0,0.7239999771118164,90,2,2.543338903427124,90
0,0.7120000123977661,10,3,0.523525459766388,10
0,0.7639999985694885,30,3,0.48480045080184936,10
0,0.7319999933242798,50,3,0.548859091758728,10
0,0.7400000095367432,70,3,0.5595462675094605,10
0,0.7160000205039978,90,3,0.6635334606170654,10
0,0.7519999742507935,10,3,0.47093472695350647,30
0,0.7319999933242798,30,3,0.7543975758552551,30
0,0.7799999713897705,50,3,1.081019018650055,30
0,0.7120000123977661,70,3,1.7491588087081908,30
0,0.7200000286102295,90,3,2.445175503730774,30
0,0.7239999771118164,10,3,0.5367431225776672,50
0,0.699999988079071,30,3,1.4715602779388428,50
0,0.7400000095367432,50,3,1.8462985515594483,50
0,0.6880000233650208,70,3,2.4075545406341554,50
0,0.6919999718666077,90,3,2.741015151023865,50
0,0.7440000176429749,10,3,0.5364798641204834,70
0,0.7400000095367432,30,3,1.5942016367912293,70
0,0.7279999852180481,50,3,1.9634433965682982,70
0,0.7440000176429749,70,3,2.161299449920654,70
0,0.7720000147819519,90,3,1.5858675327301026,70
0,0.7160000205039978,10,3,0.5793456621170044,90
0,0.7200000286102295,30,3,1.9199364366531373,90
0,0.7039999961853027,50,3,2.2122348403930663,90
0,0.7239999771118164,70,3,2.590485689163208,90
0,0.7360000014305115,90,3,2.4735878257751467,90
0,0.7120000123977661,10,4,0.5366948270797729,10
0,0.7599999904632568,30,4,0.49028988409042357,10
0,0.7559999823570251,50,4,0.5390804028511047,10
0,0.7360000014305115,70,4,0.6502504758834838,10
0,0.7279999852180481,90,4,0.9160590238571167,10
0,0.7440000176429749,10,4,0.5066995649337769,30
0,0.7039999961853027,30,4,0.8747057476043701,30
0,0.6959999799728394,50,4,1.641947774887085,30
0,0.7599999904632568,70,4,2.314762735366821,30
0,0.7319999933242798,90,4,2.034844873428345,30
0,0.7519999742507935,10,4,0.4806744065284729,50
0,0.7200000286102295,30,4,1.31822917842865,50
0,0.7559999823570251,50,4,2.3552227363586424,50
0,0.6959999799728394,70,4,1.8756762647628784,50
0,0.7239999771118164,90,4,2.691377529144287,50
0,0.7519999742507935,10,4,0.5950781450271606,70
0,0.7319999933242798,30,4,1.660111530303955,70
0,0.7080000042915344,50,4,2.3998927726745607,70
0,0.7400000095367432,70,4,2.585886329650879,70
0,0.699999988079071,90,4,2.917255069732666,70
0,0.7239999771118164,10,4,0.65881813788414,90
0,0.7120000123977661,30,4,1.7149866285324096,90
0,0.7080000042915344,50,4,2.4317554960250853,90
0,0.7160000205039978,70,4,2.8658315105438232,90
0,0.7480000257492065,90,4,2.5875306663513182,90
0,0.7360000014305115,10,5,0.5452790532112122,10
0,0.7879999876022339,30,5,0.4913513855934143,10
0,0.7360000014305115,50,5,0.5830556058883667,10
0,0.7239999771118164,70,5,0.6957651834487915,10
0,0.7200000286102295,90,5,0.7465922708511352,10
0,0.7519999742507935,10,5,0.497551784992218,30
0,0.7400000095367432,30,5,1.048881152153015,30
0,0.7480000257492065,50,5,1.508493658065796,30
0,0.7400000095367432,70,5,2.176591197013855,30
0,0.7120000123977661,90,5,2.8804899215698243,30
0,0.7480000257492065,10,5,0.5474375782012939,50
0,0.7480000257492065,30,5,1.4096362342834472,50
0,0.6679999828338623,50,5,2.1942696018218992,50
0,0.6880000233650208,70,5,2.3059267749786376,50
0,0.7200000286102295,90,5,3.106154270172119,50
0,0.6959999799728394,10,5,0.6285476231575012,70
0,0.6880000233650208,30,5,1.767539098739624,70
0,0.7120000123977661,50,5,2.277761384010315,70
0,0.7279999852180481,70,5,1.7374097623825073,70
0,0.7279999852180481,90,5,2.5676156997680666,70
0,0.7480000257492065,10,5,0.6045407619476318,90
0,0.7200000286102295,30,5,2.1962299098968505,90
0,0.7400000095367432,50,5,1.7830107593536377,90
0,0.7639999985694885,70,5,2.834983003616333,90
0,0.7279999852180481,90,5,2.6930305099487306,90
0,0.7160000205039978,10,1,0.538151162147522,10
0,0.7680000066757202,30,1,0.5022201247215271,10
0,0.7799999713897705,50,1,0.4829552617073059,10
0,0.7480000257492065,70,1,0.49793835163116457,10
0,0.7239999771118164,90,1,0.5676909308433533,10
0,0.7519999742507935,10,1,0.48572573757171633,30
0,0.7599999904632568,30,1,0.5073146731853485,30
0,0.7239999771118164,50,1,0.5904176502227784,30
0,0.7599999904632568,70,1,0.7166729254722595,30
0,0.7440000176429749,90,1,0.8359576334953308,30
0,0.7599999904632568,10,1,0.486353346824646,50
0,0.7760000228881836,30,1,0.5053409490585327,50
0,0.7239999771118164,50,1,0.7500026078224182,50
0,0.7480000257492065,70,1,0.8815251846313477,50
0,0.7239999771118164,90,1,1.0643761625289918,50
0,0.7720000147819519,10,1,0.47221937465667724,70
0,0.7680000066757202,30,1,0.6326933398246765,70
0,0.7559999823570251,50,1,0.7362122673988343,70
0,0.7239999771118164,70,1,1.078454707145691,70
0,0.7039999961853027,90,1,1.442346221923828,70
0,0.7400000095367432,10,1,0.4987717924118042,90
0,0.7480000257492065,30,1,0.6975010628700257,90
0,0.6840000152587891,50,1,1.0984742202758788,90
0,0.7080000042915344,70,1,1.3654063882827758,90
0,0.671999990940094,90,1,1.7888269853591918,90
0,0.7239999771118164,10,2,0.5536948752403259,10
0,0.7519999742507935,30,2,0.4981457853317261,10
0,0.7599999904632568,50,2,0.5018666763305664,10
0,0.7799999713897705,70,2,0.5223484859466553,10
0,0.7400000095367432,90,2,0.6006537103652954,10
0,0.7639999985694885,10,2,0.4976109719276428,30
0,0.7519999742507935,30,2,0.6010182871818542,30
0,0.6959999799728394,50,2,0.9713240995407104,30
0,0.7200000286102295,70,2,1.3386986970901489,30
0,0.6959999799728394,90,2,1.6784881858825684,30
0,0.7680000066757202,10,2,0.4881545593738556,50
0,0.7319999933242798,30,2,0.6989738717079162,50
0,0.7039999961853027,50,2,1.4921975193023682,50
0,0.7400000095367432,70,2,1.735477870941162,50
0,0.7480000257492065,90,2,2.0189654817581175,50
0,0.7319999933242798,10,2,0.5071944551467895,70
0,0.7160000205039978,30,2,1.0827219133377075,70
0,0.6840000152587891,50,2,1.9039050235748292,70
0,0.7400000095367432,70,2,1.9813951034545898,70
0,0.7440000176429749,90,2,2.4478109798431396,70
0,0.7279999852180481,10,2,0.5252931966781617,90
0,0.7279999852180481,30,2,1.1246043853759766,90
0,0.6959999799728394,50,2,1.8322415504455567,90
0,0.699999988079071,70,2,2.0640806484222414,90
0,0.7239999771118164,90,2,2.3642415447235106,90
0,0.7120000123977661,10,3,0.5123293659687043,10
0,0.7360000014305115,30,3,0.5253390655517578,10
0,0.7720000147819519,50,3,0.49920699262619017,10
0,0.7360000014305115,70,3,0.6487076196670533,10
0,0.7239999771118164,90,3,0.6993386301994323,10
0,0.7559999823570251,10,3,0.4779055485725403,30
0,0.7519999742507935,30,3,0.6336940984725952,30
0,0.7239999771118164,50,3,1.1806593341827392,30
0,0.7400000095367432,70,3,2.0348575782775877,30
0,0.7519999742507935,90,3,1.7323397951126098,30
0,0.7639999985694885,10,3,0.4907041387557983,50
0,0.7360000014305115,30,3,0.9653434233665467,50
0,0.7519999742507935,50,3,1.9577638187408448,50
0,0.7400000095367432,70,3,2.557679934501648,50
0,0.6959999799728394,90,3,2.493086727142334,50
0,0.7599999904632568,10,3,0.5179635691642761,70
0,0.7200000286102295,30,3,1.65604771900177,70
0,0.6959999799728394,50,3,2.4106477127075197,70
0,0.7400000095367432,70,3,2.0861511821746825,70
0,0.7039999961853027,90,3,2.412361904144287,70
0,0.7519999742507935,10,3,0.5355006427764892,90
0,0.7120000123977661,30,3,1.5003199462890624,90
0,0.7400000095367432,50,3,1.9205148258209228,90
0,0.7239999771118164,70,3,2.6779812698364256,90
0,0.7200000286102295,90,3,2.3832298555374147,90
0,0.7440000176429749,10,4,0.5202880611419678,10
0,0.7480000257492065,30,4,0.5413911657333375,10
0,0.7519999742507935,50,4,0.5603068871498108,10
0,0.7519999742507935,70,4,0.7327789220809936,10
0,0.7639999985694885,90,4,0.6810781736373901,10
0,0.7480000257492065,10,4,0.5072723598480224,30
0,0.7039999961853027,30,4,0.8690381627082825,30
0,0.7319999933242798,50,4,1.4783363828659057,30
0,0.7200000286102295,70,4,2.466207307815552,30
0,0.6759999990463257,90,4,3.633299257278442,30
0,0.7639999985694885,10,4,0.5149284701347351,50
0,0.6959999799728394,30,4,1.7250967464447022,50
0,0.6480000019073486,50,4,2.761179189682007,50
0,0.7360000014305115,70,4,2.381230927467346,50
0,0.6919999718666077,90,4,2.340619142532349,50
0,0.7519999742507935,10,4,0.5633577876091004,70
0,0.6679999828338623,30,4,1.578048306465149,70
0,0.7360000014305115,50,4,1.988055950164795,70
0,0.7319999933242798,70,4,2.3811993083953857,70
0,0.7120000123977661,90,4,3.0419022312164308,70
0,0.7559999823570251,10,4,0.6708357253074646,90
0,0.7319999933242798,30,4,1.7684741306304932,90
0,0.7239999771118164,50,4,1.9834786128997803,90
0,0.7599999904632568,70,4,1.9885410947799682,90
0,0.7239999771118164,90,4,2.790608434677124,90
0,0.7559999823570251,10,5,0.4937105722427368,10
0,0.7599999904632568,30,5,0.496301185131073,10
0,0.7440000176429749,50,5,0.5797906455993652,10
0,0.7120000123977661,70,5,0.667544563293457,10
0,0.7519999742507935,90,5,0.7309455170631408,10
0,0.7680000066757202,10,5,0.5126862757205963,30
